Ind,authors,title,year,is_cited_own_paper,is_of_interest
171,Alexander Adam; Sam Kitchen; Toby Wiseman,A numerical approach to finding general stationary vacuum black holes,2012,True,True
172,Elliot Banks; Aristomenis Donos; Jerome P. Gauntlett,Thermoelectric DC conductivities and Stokes flows on black hole horizons,2015,True,True
173,Aristomenis Donos; Jerome P. Gauntlett; Tom Griffin; Nakarin Lohitsiri; Luis Melgar,Holographic DC conductivity and Onsager relations,2017,True,True
174,Andrew Lucas; Subir Sachdev; Koenraad Schalm,Scale-invariant hyperscaling-violating holographic theories and the resistivity of strange metals with random-field disorder,2014,True,True
175,Andrew Lucas,Conductivity of a strange metal: from holography to memory functions,2015,True,True
176,Johanna Erdmenger; Benedikt Herwerth; Steffen Klug; René Meyer; Koenraad Schalm,S-wave superconductivity in anisotropic holographic insulators,2015,True,True
177,Andrea Amoretti; Daniel Areán; Blaise Goutéraux; Daniele Musso,"dc Resistivity of Quantum Critical, Charge Density Wave States from Gauge-Gravity Duality",2018,True,True
178,Luca V. Delacrétaz; Blaise Goutéraux; Sean A. Hartnoll; Anna Karlsson,Theory of hydrodynamic transport in fluctuating electronic charge density wave states,2017,True,True
179,Andrew Lucas; Jesse Crossno; Kin Chung Fong; Philip Kim; Subir Sachdev,Transport in inhomogeneous quantum critical fluids and in the Dirac fluid in graphene,2016,True,True
180,Blaise Goutéraux; Eric Mefford,Non-vanishing zero-temperature normal density in holographic superfluids,2020,True,True
181,Andrea Amoretti; Daniel Areán; Blaise Goutéraux; Daniele Musso,Universal Relaxation in a Holographic Metallic Density Wave Phase,2019,True,True
182,Jay Armas; Akash Jain,Hydrodynamics for charge density waves and their holographic duals,2020,True,True
183,Michal P. Heller; Alexandre Serantes; Michal Spalinski; Viktor Svensson; Benjamin Withers,Convergence of hydrodynamic modes: insights from kinetic theory and holography,2021,True,True
184,Paul Chesler; Andrew Lucas; Subir Sachdev,Conformal field theories in a periodic potential: Results from holography and field theory,2014,True,True
185,Dmitry S. Ageev; Irina Ya. Aref’eva,"When things stop falling, chaos is suppressed",2019,True,True
186,P. Colangelo; F. De Fazio; N. Losacco,Chaos in a $Q\overline{Q}$ system at finite temperature and baryon density,2020,True,True
187,Xiao Chen; Yingfei Gu; Andrew Lucas,Many-body quantum dynamics slows down at low density,2020,True,True
188,Nilakash Sorokhaibam,Phase transition and chaos in charged SYK model,2020,True,True
189,Matteo Baggioli; Wei-Jia Li,Universal bounds on transport in holographic systems with broken translations,2020,True,True
190,Blaise Goutéraux; Eric Mefford,Normal Charge Densities in Quantum Critical Superfluids,2020,True,True
191,Martin Ammon; Daniel Arean; Matteo Baggioli; Seán Gray; Sebastian Grieninger,Pseudo-spontaneous U(1) Symmetry Breaking in Hydrodynamics and Holography,2022,True,True
192,Raghu Mahajan; Maissam Barkeshli; Sean A. Hartnoll,Non-Fermi liquids and the Wiedemann-Franz law,2013,True,True
193,Maine Christos; Darshan G. Joshi; Subir Sachdev; Maria Tikhanovskaya,Critical metallic phase in the overdoped random t-J model,2022,True,True
194,R. Mondaini; S. Tarat; R. T. Scalettar,Quantum critical points and the sign problem,2022,True,True
